id,device_id,event_ts,longitude,latitude,vehicles,motorcycles,pedestrians,traffic_condition,trucks
49,0x1000000000001,2023-12-01 01:49:00,-75.1213,6.317507,12,9,149,low traffic,14
50,0x1000000000012,2023-12-01 01:50:00,-75.11065,6.9686203,32,8,285,low traffic,33
51,0x100000000000b,2023-12-01 01:51:00,-75.41588,6.20342,21,8,167,low traffic,22
52,0x100000000000f,2023-12-01 01:52:00,-75.19318,7.022721,23,10,285,low traffic,25
53,0x1000000000023,2023-12-01 01:53:00,-74.84163,6.5999155,30,1,235,low traffic,30
54,0x1000000000004,2023-12-01 01:54:00,-74.629654,6.877279,13,7,229,low traffic,15
55,0x1000000000022,2023-12-01 01:55:00,-74.581085,6.546666,45,5,190,high congestion,47
56,0x100000000000b,2023-12-01 01:56:00,-75.23972,6.4862056,27,9,155,clear,27
57,0x1000000000016,2023-12-01 01:57:00,-75.057976,7.0578637,17,9,296,clear,18
58,0x1000000000007,2023-12-01 01:58:00,-74.74338,6.770639,25,1,228,low traffic,27
59,0x1000000000001,2023-12-01 01:59:00,-75.277054,6.5881877,28,8,266,average traffic,28
60,0x1000000000016,2023-12-01 02:00:00,-75.3694,6.212857,37,7,230,high congestion,37
61,0x1000000000014,2023-12-01 02:01:00,-74.92768,6.530144,37,4,210,low traffic,38
62,0x1000000000024,2023-12-01 02:02:00,-74.801765,6.243239,33,4,256,low traffic,33
63,0x100000000000a,2023-12-01 02:03:00,-74.51111,6.3775268,18,8,122,average traffic,20
64,0x100000000001e,2023-12-01 02:04:00,-75.43779,6.657974,16,7,196,average traffic,18
65,0x1000000000001,2023-12-01 02:05:00,-75.30059,7.0455565,12,1,238,clear,13
66,0x1000000000009,2023-12-01 02:06:00,-74.88166,6.8881707,22,5,162,clear,24
67,0x1000000000008,2023-12-01 02:07:00,-74.531845,7.047532,21,6,105,high congestion,22
68,0x1000000000005,2023-12-01 02:08:00,-75.27505,6.6346226,11,6,269,high congestion,13
69,0x1000000000021,2023-12-01 02:09:00,-74.57996,6.5993443,22,7,103,average traffic,23
70,0x100000000000f,2023-12-01 02:10:00,-75.44111,6.886931,12,2,114,average traffic,13
71,0x1000000000003,2023-12-01 02:11:00,-75.18651,6.6447988,35,9,122,average traffic,35
72,0x1000000000006,2023-12-01 02:12:00,-75.13492,6.9771194,29,5,177,average traffic,30
73,0x1000000000008,2023-12-01 02:13:00,-75.23368,6.388886,14,5,190,clear,16
74,0x1000000000023,2023-12-01 02:14:00,-74.79633,6.411926,49,3,217,average traffic,49
75,0x1000000000019,2023-12-01 02:15:00,-74.82708,6.330497,50,9,272,average traffic,50
76,0x1000000000011,2023-12-01 02:16:00,-75.33724,6.619155,42,4,243,low traffic,43
77,0x100000000000b,2023-12-01 02:17:00,-75.45654,6.786487,39,8,224,low traffic,41
78,0x100000000001b,2023-12-01 02:18:00,-75.35101,6.670027,28,5,262,low traffic,30
79,0x1000000000012,2023-12-01 02:19:00,-74.862206,7.1156645,21,2,221,clear,21
80,0x1000000000005,2023-12-01 02:20:00,-75.094055,6.581637,33,2,101,average traffic,34
81,0x1000000000004,2023-12-01 02:21:00,-75.30392,6.4337134,29,4,131,high congestion,30
82,0x1000000000006,2023-12-01 02:22:00,-74.904884,7.0028386,37,6,133,low traffic,38
83,0x100000000001e,2023-12-01 02:23:00,-75.392525,6.716069,18,9,171,average traffic,20
84,0x100000000001a,2023-12-01 02:24:00,-74.82271,6.4474673,30,6,230,low traffic,30
85,0x1000000000003,2023-12-01 02:25:00,-75.4636,6.3878193,15,9,244,clear,17
86,0x1000000000013,2023-12-01 02:26:00,-75.21634,6.546105,12,10,237,low traffic,14
87,0x1000000000006,2023-12-01 02:27:00,-75.16924,6.381367,32,4,244,clear,33
88,0x1000000000018,2023-12-01 02:28:00,-75.203125,6.7211456,44,7,143,low traffic,46
89,0x1000000000026,2023-12-01 02:29:00,-74.61244,6.4232926,38,8,158,average traffic,40
90,0x1000000000009,2023-12-01 02:30:00,-75.126366,6.9390516,30,2,211,average traffic,30
91,0x1000000000020,2023-12-01 02:31:00,-75.011086,7.086898,48,2,299,low traffic,50
92,0x1000000000014,2023-12-01 02:32:00,-74.68508,7.139859,22,9,234,average traffic,23
93,0x1000000000018,2023-12-01 02:33:00,-74.888214,6.8925653,22,7,250,average traffic,23
94,0x1000000000012,2023-12-01 02:34:00,-74.72582,6.3624916,25,8,151,low traffic,26
95,0x1000000000001,2023-12-01 02:35:00,-74.89577,6.5648165,28,4,151,low traffic,28
96,0x100000000001f,2023-12-01 02:36:00,-74.71385,6.1819587,25,8,129,low traffic,26
97,0x1000000000007,2023-12-01 02:37:00,-75.04181,6.967531,19,7,196,high congestion,19
98,0x100000000001f,2023-12-01 02:38:00,-74.94216,6.319543,45,6,149,low traffic,47
99,0x1000000000011,2023-12-01 02:39:00,-75.372955,6.6090746,19,1,209,clear,20
100,0x100000000000a,2023-12-01 02:40:00,-74.497665,6.9071145,49,1,163,low traffic,51
101,0x100000000001d,2023-12-01 02:41:00,-74.53242,6.7031364,32,2,162,low traffic,33
102,0x1000000000011,2023-12-01 02:42:00,-75.379585,6.3172684,37,9,299,average traffic,38
103,0x1000000000013,2023-12-01 02:43:00,-75.39155,6.6241255,26,8,269,low traffic,27
104,0x1000000000022,2023-12-01 02:44:00,-74.960335,6.960727,42,9,202,high congestion,43
105,0x100000000000b,2023-12-01 02:45:00,-74.97426,6.639293,16,4,236,average traffic,18
106,0x1000000000003,2023-12-01 02:46:00,-75.28115,6.6826735,16,6,171,average traffic,18
107,0x1000000000008,2023-12-01 02:47:00,-74.90481,6.3134685,38,3,163,high congestion,39
108,0x100000000000d,2023-12-01 02:48:00,-74.487236,6.400708,48,8,288,low traffic,49
109,0x1000000000013,2023-12-01 02:49:00,-75.02744,6.7997513,25,5,210,average traffic,25
110,0x1000000000015,2023-12-01 02:50:00,-75.23276,7.1231527,46,7,198,high congestion,48
111,0x1000000000003,2023-12-01 02:51:00,-74.6976,7.0816116,23,10,201,clear,23
112,0x1000000000007,2023-12-01 02:52:00,-75.33188,6.9121046,35,4,213,high congestion,36
113,0x1000000000007,2023-12-01 02:53:00,-75.29415,6.2531023,22,7,232,high congestion,23
114,0x100000000001b,2023-12-01 02:54:00,-75.03389,7.1463003,44,9,241,low traffic,44
115,0x100000000001e,2023-12-01 02:55:00,-74.92557,6.8100567,30,4,212,low traffic,31
116,0x1000000000023,2023-12-01 02:56:00,-75.14056,6.9814816,16,7,170,average traffic,16
117,0x100000000000c,2023-12-01 02:57:00,-75.10444,6.400265,18,4,213,high congestion,19
118,0x1000000000016,2023-12-01 02:58:00,-74.63516,7.123563,28,7,267,high congestion,29
119,0x100000000001d,2023-12-01 02:59:00,-74.973755,6.889067,48,7,113,average traffic,49
120,0x1000000000025,2023-12-01 03:00:00,-74.88642,6.6058993,34,9,147,average traffic,34
121,0x100000000000d,2023-12-01 03:01:00,-74.7433,6.697414,17,4,124,average traffic,18
122,0x1000000000001,2023-12-01 03:02:00,-74.89073,6.5286837,32,9,284,average traffic,34
123,0x100000000000f,2023-12-01 03:03:00,-75.197914,6.7480955,16,6,207,clear,18
124,0x1000000000027,2023-12-01 03:04:00,-75.24079,6.9268093,40,8,235,clear,40
125,0x100000000001e,2023-12-01 03:05:00,-74.831,6.437517,14,3,277,average traffic,14
126,0x100000000000f,2023-12-01 03:06:00,-75.131134,6.323013,11,1,113,high congestion,12
127,0x100000000000f,2023-12-01 03:07:00,-75.15625,6.4630213,13,7,179,average traffic,15
128,0x1000000000002,2023-12-01 03:08:00,-75.004776,6.9512787,46,5,232,low traffic,47
129,0x1000000000001,2023-12-01 03:09:00,-75.093636,6.640517,27,8,199,clear,28
130,0x100000000000a,2023-12-01 03:10:00,-75.199905,6.2744384,18,2,145,low traffic,18
131,0x100000000000b,2023-12-01 03:11:00,-75.25244,6.5081806,41,10,120,average traffic,43
132,0x100000000000e,2023-12-01 03:12:00,-74.68836,6.866839,16,9,211,average traffic,17
133,0x1000000000007,2023-12-01 03:13:00,-74.85971,6.7159214,32,10,179,average traffic,34
134,0x100000000000f,2023-12-01 03:14:00,-75.332855,6.2662306,26,9,175,average traffic,26
135,0x1000000000027,2023-12-01 03:15:00,-74.64118,6.4134145,36,2,183,low traffic,36
136,0x1000000000016,2023-12-01 03:16:00,-74.68137,6.8181424,37,7,188,average traffic,37
137,0x1000000000026,2023-12-01 03:17:00,-74.684494,6.448049,41,8,287,average traffic,43
138,0x1000000000019,2023-12-01 03:18:00,-74.63627,6.6944985,39,6,123,low traffic,39
139,0x1000000000015,2023-12-01 03:19:00,-75.45695,6.3927937,23,4,201,clear,24
140,0x100000000001e,2023-12-01 03:20:00,-75.05069,6.3482437,44,5,114,low traffic,45
141,0x1000000000021,2023-12-01 03:21:00,-74.650734,6.2284503,17,7,121,low traffic,17
142,0x1000000000009,2023-12-01 03:22:00,-75.34335,6.4371624,49,2,225,average traffic,49
143,0x1000000000003,2023-12-01 03:23:00,-74.54559,6.809705,11,10,208,clear,12
144,0x1000000000017,2023-12-01 03:24:00,-74.52476,6.9600234,34,6,201,average traffic,35
145,0x1000000000023,2023-12-01 03:25:00,-75.23626,6.901959,34,6,256,clear,34
146,0x100000000000f,2023-12-01 03:26:00,-74.49942,6.156736,50,5,210,clear,50
147,0x100000000001b,2023-12-01 03:27:00,-74.98742,6.2263517,42,9,295,clear,43
148,0x1000000000023,2023-12-01 03:28:00,-75.016594,7.132223,43,6,134,low traffic,44
149,0x1000000000012,2023-12-01 03:29:00,-74.71034,6.2828746,32,6,178,average traffic,34
150,0x100000000000e,2023-12-01 03:30:00,-74.78658,6.341504,46,2,272,average traffic,48
151,0x1000000000008,2023-12-01 03:31:00,-74.80165,6.179237,16,9,177,clear,17
152,0x1000000000020,2023-12-01 03:32:00,-74.76015,6.6414523,20,6,209,high congestion,21
153,0x100000000001e,2023-12-01 03:33:00,-74.766846,6.3387914,33,3,193,average traffic,34
154,0x1000000000009,2023-12-01 03:34:00,-74.73385,6.9069,38,8,223,average traffic,40
155,0x1000000000007,2023-12-01 03:35:00,-75.405045,7.13177,35,3,215,low traffic,36
156,0x1000000000018,2023-12-01 03:36:00,-74.737946,6.428782,13,2,174,high congestion,15
157,0x1000000000026,2023-12-01 03:37:00,-74.87562,6.289669,26,6,145,high congestion,27
158,0x100000000000a,2023-12-01 03:38:00,-75.12148,6.839719,21,8,143,clear,23
159,0x1000000000009,2023-12-01 03:39:00,-74.525925,6.831168,19,8,240,average traffic,21
160,0x100000000001a,2023-12-01 03:40:00,-75.40099,6.597936,40,3,223,low traffic,42
161,0x1000000000004,2023-12-01 03:41:00,-74.62912,7.0530405,18,6,250,low traffic,19
162,0x100000000000b,2023-12-01 03:42:00,-75.19604,6.460257,29,1,225,high congestion,30
163,0x1000000000014,2023-12-01 03:43:00,-74.89251,6.5828447,21,7,189,average traffic,21
164,0x100000000000d,2023-12-01 03:44:00,-74.91367,6.9529657,35,8,283,average traffic,37
165,0x1000000000004,2023-12-01 03:45:00,-74.995224,6.6138077,33,3,103,high congestion,33
166,0x1000000000004,2023-12-01 03:46:00,-74.96911,6.207072,26,9,247,average traffic,26
167,0x1000000000007,2023-12-01 03:47:00,-75.03037,6.4320173,15,4,282,low traffic,15
168,0x1000000000009,2023-12-01 03:48:00,-75.39312,7.135603,15,5,175,average traffic,15
169,0x1000000000024,2023-12-01 03:49:00,-75.30193,6.908925,12,7,134,clear,13
170,0x1000000000012,2023-12-01 03:50:00,-75.08646,6.568023,20,4,244,high congestion,21
171,0x1000000000000,2023-12-01 03:51:00,-75.20967,6.149074,20,7,173,average traffic,20
172,0x100000000001a,2023-12-01 03:52:00,-74.66722,6.395509,32,2,186,high congestion,33
173,0x1000000000026,2023-12-01 03:53:00,-74.54201,6.4263597,33,7,192,average traffic,34
174,0x1000000000011,2023-12-01 03:54:00,-74.57712,6.423029,18,4,252,average traffic,19
175,0x1000000000011,2023-12-01 03:55:00,-75.04853,6.9792175,40,3,245,low traffic,40
176,0x100000000000e,2023-12-01 03:56:00,-74.89626,6.1947355,19,6,246,clear,20
177,0x1000000000005,2023-12-01 03:57:00,-75.21298,6.697862,20,5,299,high congestion,22
178,0x100000000000c,2023-12-01 03:58:00,-74.520485,6.310564,29,9,153,average traffic,29
179,0x1000000000007,2023-12-01 03:59:00,-74.7523,6.438741,16,6,279,high congestion,18
180,0x1000000000005,2023-12-01 04:00:00,-74.6222,6.7358246,42,8,156,clear,44
181,0x1000000000027,2023-12-01 04:01:00,-74.5719,6.2966075,33,1,148,low traffic,35
182,0x1000000000024,2023-12-01 04:02:00,-74.813774,7.0853853,48,2,159,low traffic,49
183,0x100000000001c,2023-12-01 04:03:00,-75.22766,6.5628853,27,2,113,average traffic,27
184,0x100000000000c,2023-12-01 04:04:00,-75.25792,7.0682416,29,9,252,average traffic,30
185,0x1000000000021,2023-12-01 04:05:00,-74.998215,7.119463,16,9,296,low traffic,18
186,0x1000000000026,2023-12-01 04:06:00,-75.129,7.1235642,29,1,289,low traffic,29
187,0x100000000001f,2023-12-01 04:07:00,-75.407555,6.3544593,23,8,281,average traffic,24
188,0x100000000000e,2023-12-01 04:08:00,-75.13747,6.922353,29,2,152,low traffic,30
189,0x1000000000016,2023-12-01 04:09:00,-74.47231,6.9377832,24,7,289,low traffic,26
190,0x1000000000015,2023-12-01 04:10:00,-75.35298,6.1881733,34,4,295,low traffic,35
191,0x1000000000001,2023-12-01 04:11:00,-75.23629,6.7288494,42,6,156,high congestion,43
192,0x1000000000017,2023-12-01 04:12:00,-74.499756,6.3401628,11,7,158,average traffic,11
193,0x1000000000004,2023-12-01 04:13:00,-74.95655,6.8003006,39,5,227,low traffic,41
194,0x1000000000026,2023-12-01 04:14:00,-74.85035,6.1823053,39,6,235,clear,40
195,0x1000000000005,2023-12-01 04:15:00,-74.77366,6.640249,29,7,179,average traffic,31
196,0x100000000000a,2023-12-01 04:16:00,-75.36366,6.696802,37,2,206,average traffic,37
197,0x1000000000002,2023-12-01 04:17:00,-74.691124,6.2880764,25,6,269,low traffic,26
198,0x1000000000009,2023-12-01 04:18:00,-74.85283,6.7631116,31,4,200,average traffic,32
199,0x1000000000007,2023-12-01 04:19:00,-75.33629,6.707421,40,9,188,high congestion,40
200,0x1000000000020,2023-12-01 04:20:00,-75.41686,6.256003,30,1,163,high congestion,32
201,0x1000000000020,2023-12-01 04:21:00,-74.62604,6.802236,22,7,195,clear,22
202,0x100000000000f,2023-12-01 04:22:00,-74.53546,6.439775,37,6,220,low traffic,38
203,0x1000000000022,2023-12-01 04:23:00,-74.87634,7.0425396,42,4,231,average traffic,42
204,0x1000000000019,2023-12-01 04:24:00,-74.68665,6.611326,45,7,271,average traffic,46
205,0x1000000000011,2023-12-01 04:25:00,-75.054375,6.4517593,26,7,216,average traffic,28
206,0x100000000001c,2023-12-01 04:26:00,-75.18261,7.1236396,35,7,154,average traffic,35
207,0x1000000000019,2023-12-01 04:27:00,-74.476715,6.785146,49,8,231,average traffic,51
208,0x1000000000018,2023-12-01 04:28:00,-75.44461,6.296243,31,6,165,high congestion,33
209,0x1000000000012,2023-12-01 04:29:00,-74.817375,7.0493402,16,8,194,average traffic,17
210,0x1000000000010,2023-12-01 04:30:00,-75.21056,6.7241807,13,9,116,high congestion,14
211,0x1000000000027,2023-12-01 04:31:00,-75.15332,6.6225905,33,8,116,high congestion,33
212,0x100000000001b,2023-12-01 04:32:00,-75.035385,6.5590854,12,1,114,low traffic,14
213,0x1000000000017,2023-12-01 04:33:00,-74.808914,6.6988735,28,4,184,average traffic,29
214,0x1000000000023,2023-12-01 04:34:00,-75.02457,6.9209805,24,2,251,low traffic,26
215,0x1000000000006,2023-12-01 04:35:00,-74.75023,6.6511793,36,4,143,low traffic,37
216,0x1000000000024,2023-12-01 04:36:00,-74.49211,6.8918495,21,7,175,high congestion,21
217,0x100000000000e,2023-12-01 04:37:00,-75.05936,6.7804275,12,9,201,clear,13
218,0x100000000000d,2023-12-01 04:38:00,-75.27929,6.656405,21,7,131,low traffic,21
219,0x1000000000022,2023-12-01 04:39:00,-74.96571,7.000334,21,9,260,average traffic,21
220,0x1000000000013,2023-12-01 04:40:00,-75.254364,6.867089,42,2,127,low traffic,43
221,0x1000000000008,2023-12-01 04:41:00,-74.683304,6.858159,33,5,100,low traffic,34
222,0x1000000000002,2023-12-01 04:42:00,-74.46742,6.6985197,14,4,284,low traffic,15
223,0x1000000000004,2023-12-01 04:43:00,-75.11166,6.516166,44,5,122,low traffic,46
224,0x1000000000008,2023-12-01 04:44:00,-74.87608,6.880313,42,3,276,clear,43
225,0x1000000000012,2023-12-01 04:45:00,-75.35221,6.2521577,10,7,120,high congestion,10
226,0x1000000000016,2023-12-01 04:46:00,-75.1653,6.99592,28,4,213,average traffic,29
227,0x1000000000001,2023-12-01 04:47:00,-75.207275,6.596483,49,1,238,low traffic,51
228,0x100000000000f,2023-12-01 04:48:00,-74.73485,6.280787,13,3,215,low traffic,15
229,0x1000000000014,2023-12-01 04:49:00,-74.48874,6.953016,31,6,172,low traffic,33
230,0x1000000000014,2023-12-01 04:50:00,-74.881714,7.0105386,31,4,170,high congestion,31
231,0x1000000000012,2023-12-01 04:51:00,-75.031555,6.933755,34,7,143,average traffic,35
232,0x1000000000020,2023-12-01 04:52:00,-74.67606,6.7062125,10,1,188,high congestion,12
233,0x1000000000013,2023-12-01 04:53:00,-75.3253,6.378797,36,8,267,average traffic,36
234,0x100000000000d,2023-12-01 04:54:00,-75.01372,6.4108477,27,10,134,low traffic,28
235,0x100000000001a,2023-12-01 04:55:00,-74.69186,6.2141304,22,4,253,clear,24
236,0x1000000000013,2023-12-01 04:56:00,-74.520195,6.2745852,46,9,178,clear,47
237,0x1000000000008,2023-12-01 04:57:00,-75.05393,6.3169427,29,9,258,average traffic,29
238,0x1000000000027,2023-12-01 04:58:00,-74.75651,7.1109033,20,3,138,average traffic,21
239,0x100000000000d,2023-12-01 04:59:00,-75.10192,6.4392853,36,5,136,average traffic,36
240,0x100000000001d,2023-12-01 05:00:00,-74.69017,6.3929253,33,6,151,average traffic,33
241,0x1000000000008,2023-12-01 05:01:00,-74.926254,6.3095946,14,8,228,average traffic,15
242,0x1000000000016,2023-12-01 05:02:00,-75.319885,6.5171003,23,6,238,average traffic,23
243,0x1000000000003,2023-12-01 05:03:00,-75.26778,6.6329746,30,3,189,average traffic,30
244,0x100000000000b,2023-12-01 05:04:00,-74.497795,6.269185,35,6,214,high congestion,36
245,0x100000000000f,2023-12-01 05:05:00,-75.02201,7.003461,43,5,155,low traffic,44
246,0x1000000000015,2023-12-01 05:06:00,-75.33736,6.8237133,31,9,260,low traffic,31
247,0x100000000000a,2023-12-01 05:07:00,-74.7304,7.0394974,22,6,207,low traffic,22
248,0x1000000000018,2023-12-01 05:08:00,-74.836266,6.9645514,17,6,112,average traffic,19
249,0x1000000000013,2023-12-01 05:09:00,-75.19375,7.051679,33,7,271,average traffic,35
250,0x100000000001f,2023-12-01 05:10:00,-75.43391,7.021469,43,2,278,clear,45
251,0x1000000000019,2023-12-01 05:11:00,-75.35904,6.961694,42,2,239,clear,44
252,0x1000000000024,2023-12-01 05:12:00,-75.039276,6.796469,37,3,225,low traffic,38
253,0x1000000000013,2023-12-01 05:13:00,-74.63453,6.2428827,16,1,268,clear,16
254,0x1000000000009,2023-12-01 05:14:00,-75.3663,6.291955,46,7,275,average traffic,48
255,0x1000000000007,2023-12-01 05:15:00,-75.0628,6.836042,37,2,230,low traffic,38
256,0x1000000000009,2023-12-01 05:16:00,-75.119156,6.236003,24,5,213,average traffic,24
257,0x1000000000018,2023-12-01 05:17:00,-74.97706,6.8628893,32,8,266,low traffic,34
258,0x1000000000007,2023-12-01 05:18:00,-75.01276,6.4232817,18,6,154,average traffic,19
259,0x1000000000019,2023-12-01 05:19:00,-75.14073,6.323571,43,5,149,low traffic,44
260,0x1000000000004,2023-12-01 05:20:00,-75.15721,6.1835456,46,7,187,average traffic,46
261,0x1000000000021,2023-12-01 05:21:00,-74.95126,6.9656014,14,3,210,low traffic,14
262,0x1000000000010,2023-12-01 05:22:00,-74.47212,6.388645,19,10,269,low traffic,21
263,0x100000000001d,2023-12-01 05:23:00,-75.37689,6.759273,33,9,253,clear,35
264,0x1000000000013,2023-12-01 05:24:00,-75.344734,7.0664682,34,5,239,clear,36
265,0x1000000000009,2023-12-01 05:25:00,-74.516655,6.1547694,22,2,103,low traffic,24
266,0x1000000000008,2023-12-01 05:26:00,-74.95799,6.708635,16,9,121,clear,18
267,0x1000000000020,2023-12-01 05:27:00,-75.181694,6.7993426,26,8,244,average traffic,28
268,0x1000000000001,2023-12-01 05:28:00,-74.539825,7.0500145,50,9,267,average traffic,50
269,0x1000000000008,2023-12-01 05:29:00,-74.792755,6.4507813,18,8,193,average traffic,18
270,0x1000000000002,2023-12-01 05:30:00,-75.0167,7.0755167,19,2,159,average traffic,19
271,0x1000000000008,2023-12-01 05:31:00,-75.42514,6.4997206,16,1,246,average traffic,17
272,0x1000000000017,2023-12-01 05:32:00,-75.390656,6.6542106,11,3,230,low traffic,13
273,0x1000000000025,2023-12-01 05:33:00,-75.25347,6.979164,22,6,146,high congestion,24
274,0x100000000000f,2023-12-01 05:34:00,-75.33657,6.3907223,31,6,219,average traffic,32
275,0x1000000000015,2023-12-01 05:35:00,-74.99175,6.3770165,33,9,175,average traffic,34
276,0x1000000000014,2023-12-01 05:36:00,-75.116264,6.5226727,13,4,190,average traffic,14
277,0x1000000000005,2023-12-01 05:37:00,-75.26496,6.835619,49,9,164,low traffic,49
278,0x1000000000003,2023-12-01 05:38:00,-74.670395,6.358443,34,3,283,low traffic,35
279,0x100000000000e,2023-12-01 05:39:00,-74.646866,6.9774284,28,4,120,low traffic,29
280,0x1000000000023,2023-12-01 05:40:00,-75.452156,6.529157,37,6,128,average traffic,38
281,0x100000000001f,2023-12-01 05:41:00,-75.40819,7.0915036,24,7,261,high congestion,25
282,0x100000000001a,2023-12-01 05:42:00,-75.21607,6.4062333,47,1,260,average traffic,49
283,0x100000000001a,2023-12-01 05:43:00,-74.67104,6.7014723,35,5,205,low traffic,36
284,0x100000000000e,2023-12-01 05:44:00,-74.931816,6.854172,33,9,290,low traffic,34
285,0x100000000001a,2023-12-01 05:45:00,-75.24096,6.8046203,14,8,116,average traffic,14
286,0x1000000000024,2023-12-01 05:46:00,-75.19917,6.667422,46,6,115,clear,47
287,0x1000000000005,2023-12-01 05:47:00,-75.25334,6.8280053,20,5,213,low traffic,20
288,0x1000000000021,2023-12-01 05:48:00,-74.95118,7.1185813,18,6,141,low traffic,20
289,0x100000000001f,2023-12-01 05:49:00,-74.78579,7.022319,22,5,146,clear,23
290,0x1000000000001,2023-12-01 05:50:00,-75.423775,6.462075,14,9,223,low traffic,14
291,0x100000000000c,2023-12-01 05:51:00,-75.06232,6.695329,29,6,264,average traffic,31
292,0x100000000001d,2023-12-01 05:52:00,-75.32032,6.5093284,33,6,120,average traffic,33
293,0x1000000000002,2023-12-01 05:53:00,-74.559616,6.7144156,24,4,297,average traffic,26
